Date,Cpy,Cpoc,Cpon,Cpop,Cdoc,Cdon,Cdop,Cam,Cni,Cph,Cox
2012-01-01,0.6870192807710549,8.628742767452144,1.095686294065497,0.04529864572486716,11.310288481614817,4.314555388584233,0.005108985264568172,0.040532670175200194,1.1457524583001786,0.012228856212152755,13.21218029439419
2012-01-02,0.6550605071199429,6.70734517223693,0.850502353347978,0.04292402060049936,11.02603078405941,4.123879416161134,0.005060410897393966,0.0392381350746993,1.4753168135082595,0.01385930979603742,12.520372896766299
2012-01-03,0.6606261882245897,6.785692176236646,0.8556714046313182,0.04302211154155521,11.240706296203285,4.175760726029067,0.005353085267323909,0.04045842617524728,1.4867301028600062,0.013961127176583567,12.774412153006779
2012-01-04,0.6572181359074046,6.616802274252221,0.8322908404155689,0.042778239730807924,10.837756360987438,4.253455711023528,0.006289969713581181,0.044382314840223445,1.533319882064151,0.01515485760904473,12.689416057538653
2012-01-05,0.5970778945402154,5.755675263751133,0.7206481097590794,0.038536213079230226,9.060120173346514,3.9524215124020543,0.006883346134150664,0.0458995501294828,1.458706878314207,0.015099388547732078,11.920811070490409
2012-01-06,0.5483773800373246,5.245508865052205,0.6556332649773455,0.0350921697050001,8.54641851157259,3.6509262417338997,0.008147251605939829,0.046047873970102376,1.369132876162687,0.015515644083638475,12.319192321733988
2012-01-07,0.5073202473710456,4.896105453582891,0.6170456456884682,0.032644962227682046,9.085118974086278,3.4545285745657024,0.01122863149725307,0.04859390943511898,1.3326953574425375,0.018391403330887665,13.190589386845225
2012-01-08,0.5073522299854256,4.8501041408414345,0.6069329522010262,0.0324465266447282,8.73846069069013,3.481614789513711,0.010805421930037366,0.04887654505052471,1.3355757556062546,0.01779149949621716,12.739205816303134
2012-01-09,0.4847610682293342,4.652324417980058,0.5819075988262664,0.030926194908149598,8.78219568348746,3.3626642807057734,0.011882070902127836,0.04946676417706852,1.3026742248237966,0.01848823080425235,12.931106684605009
2012-01-10,0.48548599670302134,4.678139221988089,0.586592363227091,0.03160686087437703,8.543277223400874,3.560778164383645,0.012005803625983611,0.051868182773007886,1.337249033713858,0.019558258009078233,12.812893675402169
2012-01-11,0.4763102576618018,4.620282998975482,0.581432528070966,0.03172113808889348,7.968716924588246,3.745021058522838,0.012383761438830751,0.05527457294867503,1.3494863008874378,0.020940513549901528,12.740013646472722
2012-01-12,0.4812040372329855,4.66889005532732,0.5859794430244757,0.032120280376873166,7.579227846537877,3.935449101173712,0.013402209482560625,0.060732902435808346,1.38027176853,0.022371203133848397,13.034208145473672
2012-01-13,0.4491976290946136,4.348738746483373,0.5410618612910033,0.029405596620916706,6.80034791411992,3.6714721334443725,0.013537873393309337,0.06055507442859298,1.2809372068072802,0.021245781937802608,12.560914386469324
2012-01-14,0.31149329967049716,3.358708670663679,0.43015723142246204,0.020730681089675473,6.802303640797597,2.6531081320348946,0.01682751764415771,0.0538292120580052,0.948710572983153,0.0223074785285148,13.11172391453659
2012-01-15,0.28075205365004935,3.165369514481583,0.4087716603626444,0.018914310887144976,6.783221744996231,2.501383397295834,0.018201979413578605,0.05463300312558322,0.885442212440467,0.023345426501289176,13.233478275210611
2012-01-16,0.36106229839759935,3.7142604635626717,0.46475704942742013,0.023537516363908884,6.143052095459899,3.214820728410463,0.01729286965011925,0.06419321976888205,1.0756321771628767,0.023540543859499493,12.96280057374468
2012-01-17,0.3972067678643605,3.894879943837475,0.4763430799290528,0.024916830887726896,5.170726125241047,3.5584971012119486,0.017231852053221444,0.07148298642656431,1.1371449895594556,0.023570962779026445,12.961116386109854
2012-01-18,0.4135257984515116,3.933627338716043,0.4720788795899784,0.024955813003470124,4.408076594343158,3.7062748854586913,0.01755036928404374,0.07660251206849382,1.14730009849472,0.023488590502536304,13.066869847673496
2012-01-19,0.41133889755645975,3.8544363861533713,0.4574550228526212,0.024299432427045874,3.984518537550269,3.723473537479506,0.017664995778929955,0.07867920438192225,1.130773552478587,0.023314081276394238,13.111143979548094
2012-01-20,0.4030607530412838,3.7553390734772023,0.4420161709384552,0.023504210915023964,3.7828559912121174,3.675640752192032,0.017542253656302544,0.0788393928909983,1.1069229689431352,0.022860151787414896,13.14569695010078
2012-01-21,0.40342777433733235,3.7583040578610354,0.44107022662906686,0.023498747101605547,3.856721676434914,3.7370585833423333,0.01791889790977647,0.08052318812927793,1.1216684129469736,0.023318457344213357,13.44839830485634
2012-01-22,0.38325649390694394,3.5748950962124986,0.421599697472182,0.022601585464400088,3.9479763838022497,3.6966810376864987,0.017959423809298023,0.08005855200058486,1.1061174093017514,0.0238031197647876,13.309575031102096
2012-01-23,0.3946841912584784,3.6625769345215358,0.4257636302125344,0.022668535198464772,3.8709526392698774,3.7419766943900408,0.018386108646620547,0.08271261539088269,1.1168008530764335,0.023548649633689304,13.627042998954247
2012-01-24,0.39515991270273426,3.6665262053977323,0.4242405465231126,0.022533144614337405,3.9339360192089843,3.7651252529052033,0.018676095172406947,0.08371853989776507,1.1248322272546314,0.023661353657256908,13.669260286659842
2012-01-25,0.3904910997385961,3.607826070016998,0.4161596367261034,0.02212774083756698,3.956250167980782,3.7614500502617987,0.018786245940911175,0.08412616260004445,1.124085915937631,0.023703381580402794,13.550733901895407
2012-01-26,0.3838565702975524,3.501743471941654,0.4012203817319521,0.02132094513407161,3.8482064040577106,3.709647979149177,0.018819763004999268,0.08442071649041834,1.1071117508566382,0.023435705654350113,13.365629017299181
