time,Cpy,Cpoc,Cpon,Cpop,Cdoc,Cdon,Cdop,Cam,Cni,Cph,Cox
12/22/2021,0.131695833,0.765,0.11,0.01118,7.164333333,1.955333333,0.010938941,0.084266667,1.4108,0.042233333,12.21
1/1/2022,0.1233099,2.247737936,0.412677765,0.025876733,10.34,3.973946667,0.016533333,0.041626667,1.16704,0.043916667,13.2
1/14/2022,0.1233099,2.247737936,0.412677765,0.025876733,10.34,3.973946667,0.016533333,0.041626667,1.16704,0.043916667,13.2
2/14/2022,0.0971166,0.719588827,0.128328162,0.005757733,9.401333333,2.58328,0.020253333,0.073873333,2.1679,0.032756667,12.04
3/14/2022,0.4508235,1.258934403,0.206886535,0.0135036,7.264333333,2.791926667,0.022056667,0.040876,1.617426,0.017933333,13.6
4/14/2022,0.473826,1.266585828,0.20830665,0.0151528,9.899666667,2.329973333,0.02,0.008773333,2.25218,0.025833333,12.1
5/20/2022,2.5826328,3.316030964,0.473158293,0.0341124,9.992333333,0.84434,0.002996667,0.00322,0.296706667,0.006613333,13.91
6/21/2022,3.9632997,2.935505981,0.558076741,0.035805,3.108,0.440729333,0.015293333,0.012124,0.04508,0.007646667,11.2
7/16/2022,2.1915,2.790694357,0.487661125,0.041816933,8.146666667,0.618006667,0.018,0.015661333,0.093133333,0.028933333,8.7
8/16/2022,2.3188131,3.807844664,0.51412551,0.03,7.582666667,0.533306667,0.027106667,0.009164867,0.005433333,0.0568,9.9
9/17/2022,3.16125,3.785313565,0.534026959,0.0222053,7.270666667,0.508666667,0.047466667,0.0101336,0.005688,0.058966667,9.9
10/15/2022,0.4653,0.836757102,0.156143575,0.0179366,6.251333333,0.927686667,0.01356,0.020184,0.307508,0.0534,12.1
11/12/2022,0.13458885,0.543400515,0.082052286,0.008110633,6.186,1.316653333,0.01,0.062253333,0.583737917,0.063166667,10.32
12/12/2022,0.093840643,0.536036765,0.093218376,0.0115072,5.956333333,1.854328,9.67E-05,0.148369733,0.610545,0.0525,16.1
12/31/2022,0.242126572,2.042584549,0.256543375,0.029763338,6.942,2.785990667,0.00841835,0.145598067,1.995205834,0.047433334,14.37
1/16/2023,0.3904125,3.549132332,0.419868373,0.048019475,7.927666667,3.717653333,0.01674,0.1428264,3.379866667,0.042366667,12.64
1/25/2023,0.1331175,1.218384161,0.137833007,0.0154813,8.427,4.395906667,0.011443333,0.104148,4.180866667,0.041566667,13
2/1/2023,0.1073916,0.738972541,0.079963127,0.010801457,8.556666667,3.7142,0.02905,0.1175148,3.2115,0.020033333,12.83
2/15/2023,0.1387425,0.93324386,0.112499957,0.009760495,7.914,3.39864,0.014477325,0.1039296,2.757633333,0.036933333,13.18
