time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1/1/2012,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204,0.289815204
1/2/2012,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862,0.290785862
1/3/2012,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972,0.291833972
1/4/2012,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345,0.292958345
1/5/2012,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725,0.294157725
1/6/2012,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795,0.295430795
1/7/2012,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184,0.296776184
1/8/2012,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467,0.298192467
1/9/2012,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177,0.299678177
1/10/2012,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806,0.301231806
